ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Manhattan Beach,100.20149253731343,34039.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Mar Vista,90.3157894736842,35492.0,2.0,77.75774436090224,34.71548872180452,80.99045112781957,-40.94736842105263,-14.037593984962406,-21.06015037593985,-44.12781954887218,-40.30827067669173,17.112781954887218
Maywood,354.1532258064516,28083.0,1.0,79.79193548387096,34.987903225806456,83.29419354838711,-40.92741935483871,-14.112903225806452,-20.411290322580644,-43.975806451612904,-40.20161290322581,16.887096774193548
Melrose,577.6940298507462,31138.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Miracle Mile,50.238461538461536,7295.0,2.0,78.17338461538459,34.65446153846155,81.58638461538463,-41.12307692307692,-14.36923076923077,-21.0,-44.253846153846155,-40.4,17.076923076923077
Monrovia,185.65322580645162,36817.0,2.0,79.79193548387096,34.987903225806456,83.29419354838711,-40.92741935483871,-14.112903225806452,-20.411290322580644,-43.975806451612904,-40.20161290322581,16.887096774193548
Montebello,544.168,61960.0,2.0,79.52463999999999,34.92472000000001,82.99680000000001,-40.944,-14.16,-20.528,-44.032,-40.28,16.944
Monterey Park,199.6015037593985,59933.0,2.0,77.75774436090224,34.71548872180452,80.99045112781957,-40.94736842105263,-14.037593984962406,-21.06015037593985,-44.12781954887218,-40.30827067669173,17.112781954887218
Mt. Washington,121.8015873015873,12728.0,2.0,79.25857142857141,34.87325396825398,82.70634920634922,-40.96031746031746,-14.206349206349206,-20.634920634920636,-44.07936507936508,-40.34920634920635,16.99206349206349
North Hills,487.26612903225805,53095.0,2.0,79.79193548387096,34.987903225806456,83.29419354838711,-40.92741935483871,-14.112903225806452,-20.411290322580644,-43.975806451612904,-40.20161290322581,16.887096774193548
North Hollywood,788.1654135338346,77848.0,1.0,77.75774436090224,34.71548872180452,80.99045112781957,-40.94736842105263,-14.037593984962406,-21.06015037593985,-44.12781954887218,-40.30827067669173,17.112781954887218
Northridge,353.64925373134326,57561.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Norwalk,720.6984126984127,103223.0,2.0,79.25857142857141,34.87325396825398,82.70634920634922,-40.96031746031746,-14.206349206349206,-20.634920634920636,-44.07936507936508,-40.34920634920635,16.99206349206349
Pacoima,831.5483870967741,75014.0,2.0,79.79193548387096,34.987903225806456,83.29419354838711,-40.92741935483871,-14.112903225806452,-20.411290322580644,-43.975806451612904,-40.20161290322581,16.887096774193548
Palmdale,858.2125984251968,117432.0,2.0,78.99866141732281,34.82866141732284,82.42118110236221,-40.976377952755904,-14.251968503937007,-20.74015748031496,-44.125984251968504,-40.41732283464567,17.03937007874016
Palms,190.16030534351145,42545.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Panorama City,780.624,65766.0,1.0,79.52463999999999,34.92472000000001,82.99680000000001,-40.944,-14.16,-20.528,-44.032,-40.28,16.944
Paramount,519.6328125,55319.0,2.0,78.74078124999998,34.797031249999996,82.14203125000002,-40.984375,-14.2890625,-20.828125,-44.1640625,-40.46875,17.078125
Park La Brea,26.00763358778626,150898.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Pasadena,811.0820895522388,134941.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Pico Rivera,611.1031746031746,63151.0,2.0,79.25857142857141,34.87325396825398,82.70634920634922,-40.96031746031746,-14.206349206349206,-20.634920634920636,-44.07936507936508,-40.34920634920635,16.99206349206349
Playa Vista,34.3206106870229,2416.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Pomona,945.32,150269.0,2.0,79.52463999999999,34.92472000000001,82.99680000000001,-40.944,-14.16,-20.528,-44.032,-40.28,16.944
Porter Ranch,98.2936507936508,24923.0,2.0,79.25857142857141,34.87325396825398,82.70634920634922,-40.96031746031746,-14.206349206349206,-20.634920634920636,-44.07936507936508,-40.34920634920635,16.99206349206349
Rancho Palos Verdes,99.1796875,41301.0,2.0,78.74078124999998,34.797031249999996,82.14203125000002,-40.984375,-14.2890625,-20.828125,-44.1640625,-40.46875,17.078125
Redondo Beach,162.76153846153846,63261.0,2.0,78.17338461538459,34.65446153846155,81.58638461538463,-41.12307692307692,-14.36923076923077,-21.0,-44.253846153846155,-40.4,17.076923076923077
Reseda,586.2519083969465,62174.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Rosemead,171.08196721311475,53280.0,2.0,80.32573770491803,35.14081967213115,83.86270491803279,-40.81967213114754,-14.01639344262295,-20.040983606557376,-43.85245901639344,-40.13934426229508,16.795081967213115
Rowland Heights,170.65040650406505,47524.0,2.0,80.02382113821137,35.044796747967474,83.56479674796749,-40.89430894308943,-14.073170731707316,-20.30081300813008,-43.91869918699187,-40.13008130081301,16.821138211382113
San Dimas,97.41791044776119,35064.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
San Fernando,208.546875,23534.0,2.0,78.65687499999999,34.795,82.10156250000001,-41.0234375,-14.28125,-20.65625,-44.140625,-40.34375,16.9921875
San Gabriel,148.83333333333334,39306.0,2.0,79.25857142857141,34.87325396825398,82.70634920634922,-40.96031746031746,-14.206349206349206,-20.634920634920636,-44.07936507936508,-40.34920634920635,16.99206349206349
San Pedro,728.1567164179105,80065.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Santa Clarita,773.390977443609,157447.0,2.0,77.75774436090224,34.71548872180452,80.99045112781957,-40.94736842105263,-14.037593984962406,-21.06015037593985,-44.12781954887218,-40.30827067669173,17.112781954887218
Santa Monica,272.8731343283582,84084.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Sherman Oaks,256.6044776119403,61166.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Silverlake,195.6969696969697,30972.0,2.0,77.98545454545453,34.79984848484849,81.28045454545456,-40.89393939393939,-14.068181818181818,-20.931818181818183,-44.06060606060606,-40.25757575757576,17.045454545454547
South El Monte,175.22413793103448,20935.0,2.0,82.1524137931034,35.626293103448276,85.76853448275861,-40.672413793103445,-13.672413793103448,-19.086206896551722,-43.46551724137931,-39.64655172413793,16.5
South Gate,1005.5546875,96418.0,2.0,78.74078124999998,34.797031249999996,82.14203125000002,-40.984375,-14.2890625,-20.828125,-44.1640625,-40.46875,17.078125
South Park,504.3622047244094,30496.0,1.0,78.99866141732281,34.82866141732284,82.42118110236221,-40.976377952755904,-14.251968503937007,-20.74015748031496,-44.125984251968504,-40.41732283464567,17.03937007874016
South Pasadena,106.05223880597015,24303.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
South Whittier,310.0,55285.0,2.0,78.17338461538459,34.65446153846155,81.58638461538463,-41.12307692307692,-14.36923076923077,-21.0,-44.253846153846155,-40.4,17.076923076923077
Stevenson Ranch,39.64885496183206,8609.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Studio City,78.6793893129771,34034.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Sun Valley,341.85271317829455,75848.0,2.0,78.41085271317829,34.70992248062016,81.8125581395349,-41.06976744186046,-14.37984496124031,-20.94573643410853,-44.24031007751938,-40.44961240310077,17.069767441860463
Sunland,146.96875,15316.0,2.0,78.62289062499998,34.762421875,82.06101562500001,-41.0390625,-14.34375,-20.84375,-44.1875,-40.3828125,17.0078125
Sylmar,814.8863636363636,69499.0,2.0,77.86689393939392,34.65886363636364,81.15492424242426,-41.04545454545455,-14.166666666666666,-21.12878787878788,-44.21212121212121,-40.36363636363637,17.12121212121212
Tarzana,197.84328358208955,35502.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Temple City,156.20472440944883,33296.0,2.0,78.9570866141732,34.850629921259845,82.39503937007875,-40.95275590551181,-14.251968503937007,-20.724409448818896,-44.110236220472444,-40.40157480314961,17.015748031496063
Torrance,402.410447761194,137933.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Tujunga,115.70229007633588,26527.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
University Park,212.1145038167939,23596.0,1.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Valinda,156.832,21568.0,2.0,79.52463999999999,34.92472000000001,82.99680000000001,-40.944,-14.16,-20.528,-44.032,-40.28,16.944
Valley Glen,146.2824427480916,59230.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Van Nuys,735.5648854961833,103770.0,1.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
