ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Leimert Park,119.89506172839506,11782.0,2.0,86.75327160493828,37.818086419753115,91.31537037037036,-38.44444444444444,-13.567901234567902,-16.635802469135804,-43.27160493827161,-39.68518518518518,15.925925925925926
Lincoln Heights,442.3414634146341,26616.0,1.0,86.25774390243903,37.72268292682929,90.76993902439024,-38.49390243902439,-13.640243902439025,-16.835365853658537,-43.34756097560975,-39.78658536585366,16.00609756097561
Lomita,93.17261904761905,19984.0,2.0,85.3607738095238,37.54714285714288,89.76744047619047,-38.589285714285715,-13.56547619047619,-17.166666666666668,-43.398809523809526,-39.720238095238095,16.053571428571427
Los Feliz,82.93975903614458,35238.0,2.0,85.71355421686748,37.58144578313255,90.19463855421687,-38.602409638554214,-13.75301204819277,-17.05421686746988,-43.45180722891566,-39.83132530120482,16.048192771084338
Lynwood,1199.3625730994152,69899.0,2.0,84.93228070175438,37.569649122807036,89.20309941520469,-38.47953216374269,-13.374269005847953,-17.257309941520468,-43.30409356725146,-39.67251461988304,16.093567251461987
Manhattan Beach,142.7674418604651,34039.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Mar Vista,129.7953216374269,35492.0,2.0,84.93228070175438,37.569649122807036,89.20309941520469,-38.47953216374269,-13.374269005847953,-17.257309941520468,-43.30409356725146,-39.67251461988304,16.093567251461987
Maywood,551.0864197530864,28083.0,1.0,86.75327160493828,37.818086419753115,91.31537037037036,-38.44444444444444,-13.567901234567902,-16.635802469135804,-43.27160493827161,-39.68518518518518,15.925925925925926
Melrose,805.2674418604652,31138.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Miracle Mile,70.67857142857143,7295.0,2.0,85.31416666666667,37.49511904761907,89.74845238095239,-38.666666666666664,-13.696428571428571,-17.19047619047619,-43.470238095238095,-39.80357142857143,16.095238095238095
Monrovia,287.62345679012344,36817.0,2.0,86.75327160493828,37.818086419753115,91.31537037037036,-38.44444444444444,-13.567901234567902,-16.635802469135804,-43.27160493827161,-39.68518518518518,15.925925925925926
Montebello,859.6134969325153,61960.0,2.0,86.51269938650307,37.75478527607365,91.0766871165644,-38.50306748466258,-13.56441717791411,-16.70552147239264,-43.28834355828221,-39.65030674846626,15.938650306748466
Monterey Park,330.60233918128654,59933.0,2.0,84.93228070175438,37.569649122807036,89.20309941520469,-38.47953216374269,-13.374269005847953,-17.257309941520468,-43.30409356725146,-39.67251461988304,16.093567251461987
Mt. Washington,200.57926829268294,12728.0,2.0,86.25780487804877,37.708414634146365,90.76817073170731,-38.5,-13.646341463414634,-16.847560975609756,-43.353658536585364,-39.798780487804876,16.01219512195122
North Hills,722.3456790123457,53095.0,2.0,86.75327160493828,37.818086419753115,91.31537037037036,-38.44444444444444,-13.567901234567902,-16.635802469135804,-43.27160493827161,-39.68518518518518,15.925925925925926
North Hollywood,1271.3684210526317,77848.0,1.0,84.93228070175438,37.569649122807036,89.20309941520469,-38.47953216374269,-13.374269005847953,-17.257309941520468,-43.30409356725146,-39.67251461988304,16.093567251461987
Northridge,530.1686046511628,57561.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Norwalk,1189.4207317073171,103223.0,2.0,86.25780487804877,37.708414634146365,90.76817073170731,-38.5,-13.646341463414634,-16.847560975609756,-43.353658536585364,-39.798780487804876,16.01219512195122
Pacoima,1292.2469135802469,75014.0,2.0,86.75327160493828,37.818086419753115,91.31537037037036,-38.44444444444444,-13.567901234567902,-16.635802469135804,-43.27160493827161,-39.68518518518518,15.925925925925926
Palmdale,1408.7151515151515,117432.0,2.0,86.01375757575758,37.666424242424256,90.5010303030303,-38.52121212121212,-13.67878787878788,-16.939393939393938,-43.38787878787879,-39.842424242424244,16.048484848484847
Palms,252.75147928994082,42545.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Panorama City,1143.8282208588957,65766.0,1.0,86.50325153374233,37.76055214723929,91.03981595092024,-38.47239263803681,-13.607361963190185,-16.742331288343557,-43.31288343558282,-39.74233128834356,15.969325153374234
Paramount,864.4759036144578,55319.0,2.0,85.71355421686748,37.58144578313255,90.19463855421687,-38.602409638554214,-13.75301204819277,-17.05421686746988,-43.45180722891566,-39.83132530120482,16.048192771084338
Park La Brea,39.662721893491124,150898.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Pasadena,1117.3023255813953,134941.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Pico Rivera,936.1646341463414,63151.0,2.0,86.25780487804877,37.708414634146365,90.76817073170731,-38.5,-13.646341463414634,-16.847560975609756,-43.353658536585364,-39.798780487804876,16.01219512195122
Playa Vista,52.337278106508876,2416.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Pomona,1776.5398773006134,150269.0,2.0,86.50325153374233,37.76055214723929,91.03981595092024,-38.47239263803681,-13.607361963190185,-16.742331288343557,-43.31288343558282,-39.74233128834356,15.969325153374234
Porter Ranch,143.28658536585365,24923.0,2.0,86.25780487804877,37.708414634146365,90.76817073170731,-38.5,-13.646341463414634,-16.847560975609756,-43.353658536585364,-39.798780487804876,16.01219512195122
Rancho Palos Verdes,133.3012048192771,41301.0,2.0,85.71355421686748,37.58144578313255,90.19463855421687,-38.602409638554214,-13.75301204819277,-17.05421686746988,-43.45180722891566,-39.83132530120482,16.048192771084338
Redondo Beach,233.54761904761904,63261.0,2.0,85.31416666666667,37.49511904761907,89.74845238095239,-38.666666666666664,-13.696428571428571,-17.19047619047619,-43.470238095238095,-39.80357142857143,16.095238095238095
Reseda,861.1775147928994,62174.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Rosemead,295.3375,53280.0,2.0,87.22737500000001,37.94656250000001,91.856,-38.375,-13.49375,-16.4125,-43.175,-39.5625,15.81875
Rowland Heights,260.832298136646,47524.0,2.0,87.00403726708076,37.88472049689444,91.59608695652173,-38.41614906832298,-13.527950310559007,-16.52173913043478,-43.22360248447205,-39.62111801242236,15.875776397515528
San Dimas,170.77325581395348,35064.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
San Fernando,329.2951807228916,23534.0,2.0,85.77301204819277,37.63771084337351,90.24403614457832,-38.56024096385542,-13.620481927710843,-16.879518072289155,-43.373493975903614,-39.75301204819277,16.018072289156628
San Gabriel,231.98170731707316,39306.0,2.0,86.25780487804877,37.708414634146365,90.76817073170731,-38.5,-13.646341463414634,-16.847560975609756,-43.353658536585364,-39.798780487804876,16.01219512195122
San Pedro,944.3488372093024,80065.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Santa Clarita,1193.654970760234,157447.0,2.0,84.93228070175438,37.569649122807036,89.20309941520469,-38.47953216374269,-13.374269005847953,-17.257309941520468,-43.30409356725146,-39.67251461988304,16.093567251461987
Santa Monica,370.5639534883721,84084.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Sherman Oaks,387.3779069767442,61166.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Silverlake,272.5705882352941,30972.0,2.0,85.18494117647059,37.67529411764708,89.47382352941177,-38.39411764705882,-13.370588235294118,-17.24705882352941,-43.241176470588236,-39.588235294117645,16.01764705882353
South El Monte,297.9415584415584,20935.0,2.0,88.92967532467532,38.44084415584417,93.63792207792207,-38.12337662337662,-13.175324675324676,-15.46103896103896,-42.85064935064935,-39.246753246753244,15.590909090909092
South Gate,1638.2469879518073,96418.0,2.0,85.71355421686748,37.58144578313255,90.19463855421687,-38.602409638554214,-13.75301204819277,-17.05421686746988,-43.45180722891566,-39.83132530120482,16.048192771084338
